product_id,city,own_elast,own_sd,promo_elast,low_confidence
477780,Chennai,-0.9896,0.7847,0.0,True
477780,Delhi-NCR,-0.9896,0.7847,0.0,True
477780,Hyderabad,-0.9896,0.7847,0.0,True
477780,Kolkata,-0.9896,0.7847,0.0,True
477780,Lucknow,-0.9896,0.7847,0.0,True
477780,Mumbai,-0.9896,0.7847,0.0,True
477780,Others,-0.9896,0.7847,0.0,True
477784,Ahmedabad,-0.9914,0.8,0.0,True
477784,Bangalore,-0.9914,0.8,0.0,True
477784,Chennai,-0.9914,0.8,0.0,True
477784,Delhi-NCR,-0.9914,0.8,0.0,True
477784,Hyderabad,-0.9914,0.8,0.0,True
477784,Kolkata,-0.9914,0.8,0.0,True
477784,Lucknow,-0.9914,0.8,0.0,True
477784,Mumbai,-0.9914,0.8,0.0,True
477784,Others,-0.9914,0.8,0.0,True
477784,Pune,-0.9914,0.8,0.0,True
477785,Ahmedabad,-0.9914,0.8,0.0,True
477785,Bangalore,-0.9914,0.8,0.0,True
477785,Chennai,-0.9914,0.8,0.0,True
477785,Delhi-NCR,-0.9914,0.8,0.0,True
477785,Hyderabad,-0.9914,0.8,0.0,True
477785,Kolkata,-0.9914,0.8,0.0,True
477785,Lucknow,-0.9914,0.8,0.0,True
477785,Mumbai,-0.9914,0.8,0.0,True
477785,Others,-0.9914,0.8,0.0,True
477785,Pune,-0.9914,0.8,0.0,True
477786,Ahmedabad,-0.9914,0.8,0.0,True
477786,Bangalore,-0.9914,0.8,0.0,True
477786,Chennai,-0.9914,0.8,0.0,True
477786,Delhi-NCR,-0.9914,0.8,0.0,True
477786,Hyderabad,-0.9914,0.8,0.0,True
477786,Kolkata,-0.9914,0.8,0.0,True
477786,Lucknow,-0.9914,0.8,0.0,True
477786,Mumbai,-0.9914,0.8,0.0,True
477786,Others,-0.9914,0.8,0.0,True
477786,Pune,-0.9914,0.8,0.0,True
477787,Ahmedabad,-0.9872,0.7962,0.0,True
477787,Bangalore,-0.9872,0.7962,0.0,True
477787,Chennai,-0.9872,0.7962,0.0,True
477787,Delhi-NCR,-0.9872,0.7962,0.0,True
477787,Hyderabad,-0.9872,0.7962,0.0,True
477787,Kolkata,-0.9872,0.7962,0.0,True
477787,Lucknow,-0.9872,0.7962,0.0,True
477787,Mumbai,-0.9872,0.7962,0.0,True
477787,Others,-0.9872,0.7962,0.0,True
477787,Pune,-0.9872,0.7962,0.0,True
477788,Ahmedabad,-0.9872,0.7962,0.0,True
477788,Bangalore,-0.9872,0.7962,0.0,True
477788,Chennai,-0.9872,0.7962,0.0,True
477788,Delhi-NCR,-0.9872,0.7962,0.0,True
477788,Hyderabad,-0.9872,0.7962,0.0,True
477788,Kolkata,-0.9872,0.7962,0.0,True
477788,Lucknow,-0.9872,0.7962,0.0,True
477788,Mumbai,-0.9872,0.7962,0.0,True
477788,Others,-0.9872,0.7962,0.0,True
477788,Pune,-0.9872,0.7962,0.0,True
477790,Ahmedabad,-0.9872,0.7962,0.0,True
477790,Bangalore,-0.9872,0.7962,0.0,True
477790,Chennai,-0.9872,0.7962,0.0,True
477790,Delhi-NCR,-0.9872,0.7962,0.0,True
477790,Hyderabad,-0.9872,0.7962,0.0,True
477790,Kolkata,-0.9872,0.7962,0.0,True
477790,Mumbai,-0.9872,0.7962,0.0,True
477790,Others,-0.9872,0.7962,0.0,True
477790,Pune,-0.9872,0.7962,0.0,True
477792,Ahmedabad,-0.9872,0.7962,0.0,True
477792,Bangalore,-0.9872,0.7962,0.0,True
477792,Chennai,-0.9872,0.7962,0.0,True
477792,Delhi-NCR,-0.9872,0.7962,0.0,True
477792,Hyderabad,-0.9872,0.7962,0.0,True
477792,Kolkata,-0.9872,0.7962,0.0,True
477792,Lucknow,-0.9872,0.7962,0.0,True
477792,Mumbai,-0.9872,0.7962,0.0,True
477792,Others,-0.9872,0.7962,0.0,True
477792,Pune,-0.9872,0.7962,0.0,True
477796,Ahmedabad,-0.9872,0.7962,0.0,True
477796,Mumbai,-0.9872,0.7962,0.0,True
477796,Others,-0.9872,0.7962,0.0,True
477796,Pune,-0.9872,0.7962,0.0,True
477797,Ahmedabad,-0.9913,0.8,0.0,True
477797,Bangalore,-0.9913,0.8,0.0,True
477797,Chennai,-0.9913,0.8,0.0,True
477797,Delhi-NCR,-0.9913,0.8,0.0,True
477797,Mumbai,-0.9913,0.8,0.0,True
477797,Others,-0.9913,0.8,0.0,True
487596,Bangalore,-0.9896,0.7847,0.0,True
487596,Hyderabad,-0.9896,0.7847,0.0,True
487596,Kolkata,-0.9896,0.7847,0.0,True
487596,Mumbai,-0.9896,0.7847,0.0,True
487767,Ahmedabad,-0.9872,0.7962,0.0,True
487767,Bangalore,-0.9872,0.7962,0.0,True
487767,Delhi-NCR,-0.9872,0.7962,0.0,True
487767,Hyderabad,-0.9872,0.7962,0.0,True
487767,Kolkata,-0.9872,0.7962,0.0,True
487767,Lucknow,-0.9872,0.7962,0.0,True
487767,Mumbai,-0.9872,0.7962,0.0,True
487767,Others,-0.9872,0.7962,0.0,True
487767,Pune,-0.9872,0.7962,0.0,True
487769,Ahmedabad,-0.9872,0.7962,0.0,True
487769,Bangalore,-0.9872,0.7962,0.0,True
487769,Chennai,-0.9872,0.7962,0.0,True
487769,Delhi-NCR,-0.9872,0.7962,0.0,True
487769,Hyderabad,-0.9872,0.7962,0.0,True
487769,Kolkata,-0.9872,0.7962,0.0,True
487769,Lucknow,-0.9872,0.7962,0.0,True
487769,Mumbai,-0.9872,0.7962,0.0,True
487769,Others,-0.9872,0.7962,0.0,True
487769,Pune,-0.9872,0.7962,0.0,True
487770,Bangalore,-0.9872,0.7962,0.0,True
487770,Delhi-NCR,-0.9872,0.7962,0.0,True
487770,Kolkata,-0.9872,0.7962,0.0,True
487770,Lucknow,-0.9872,0.7962,0.0,True
487770,Mumbai,-0.9872,0.7962,0.0,True
487770,Others,-0.9872,0.7962,0.0,True
487770,Pune,-0.9872,0.7962,0.0,True
487771,Ahmedabad,-0.9872,0.7962,0.0,True
487771,Bangalore,-0.9872,0.7962,0.0,True
487771,Chennai,-0.9872,0.7962,0.0,True
487771,Delhi-NCR,-0.9872,0.7962,0.0,True
487771,Hyderabad,-0.9872,0.7962,0.0,True
487771,Kolkata,-0.9872,0.7962,0.0,True
487771,Lucknow,-0.9872,0.7962,0.0,True
487771,Mumbai,-0.9872,0.7962,0.0,True
487771,Others,-0.9872,0.7962,0.0,True
487771,Pune,-0.9872,0.7962,0.0,True
487773,Bangalore,-0.9914,0.8,0.0,True
487773,Hyderabad,-0.9914,0.8,0.0,True
487773,Mumbai,-0.9914,0.8,0.0,True
487774,Hyderabad,-0.9914,0.8,0.0,True
487774,Lucknow,-0.9914,0.8,0.0,True
496621,Mumbai,-0.9872,0.7962,0.0,True
496623,Ahmedabad,-0.9872,0.7962,0.0,True
496623,Bangalore,-0.9872,0.7962,0.0,True
496623,Chennai,-0.9872,0.7962,0.0,True
496623,Delhi-NCR,-0.9872,0.7962,0.0,True
496623,Hyderabad,-0.9872,0.7962,0.0,True
496623,Kolkata,-0.9872,0.7962,0.0,True
496623,Lucknow,-0.9872,0.7962,0.0,True
496623,Mumbai,-0.9872,0.7962,0.0,True
496623,Others,-0.9872,0.7962,0.0,True
496623,Pune,-0.9872,0.7962,0.0,True
496625,Ahmedabad,-0.9872,0.7962,0.0,True
496625,Bangalore,-0.9872,0.7962,0.0,True
496625,Delhi-NCR,-0.9872,0.7962,0.0,True
496625,Hyderabad,-0.9872,0.7962,0.0,True
496625,Kolkata,-0.9872,0.7962,0.0,True
496625,Lucknow,-0.9872,0.7962,0.0,True
496625,Mumbai,-0.9872,0.7962,0.0,True
496625,Others,-0.9872,0.7962,0.0,True
496625,Pune,-0.9872,0.7962,0.0,True
496627,Mumbai,-0.9914,0.8,0.0,True
496629,Mumbai,-0.9911,0.8,0.0,True
496630,Delhi-NCR,-0.9911,0.8,0.0,True
496630,Kolkata,-0.9911,0.8,0.0,True
496630,Mumbai,-0.9911,0.8,0.0,True
496630,Others,-0.9911,0.8,0.0,True
496631,Kolkata,-0.9896,0.7847,0.0,True
499253,Ahmedabad,-0.9872,0.7962,0.0,True
499253,Chennai,-0.9872,0.7962,0.0,True
499253,Delhi-NCR,-0.9872,0.7962,0.0,True
499253,Hyderabad,-0.9872,0.7962,0.0,True
499253,Kolkata,-0.9872,0.7962,0.0,True
499253,Lucknow,-0.9872,0.7962,0.0,True
499253,Mumbai,-0.9872,0.7962,0.0,True
499253,Others,-0.9872,0.7962,0.0,True
499253,Pune,-0.9872,0.7962,0.0,True
499254,Ahmedabad,-0.9872,0.7962,0.0,True
499254,Delhi-NCR,-0.9872,0.7962,0.0,True
499254,Kolkata,-0.9872,0.7962,0.0,True
499254,Lucknow,-0.9872,0.7962,0.0,True
499254,Mumbai,-0.9872,0.7962,0.0,True
499254,Others,-0.9872,0.7962,0.0,True
499254,Pune,-0.9872,0.7962,0.0,True
540432,Ahmedabad,-0.9291,0.7656,0.0,True
540432,Bangalore,-0.9291,0.7656,0.0,True
540432,Chennai,-0.9291,0.7656,0.0,True
540432,Delhi-NCR,-0.9291,0.7656,0.0,True
540432,Hyderabad,-0.9291,0.7656,0.0,True
540432,Kolkata,-0.9291,0.7656,0.0,True
