scenario,kpi,preset,revenue_floor_frac,max_change_ppt,units_wk,gross_wk,revenue_wk,disc_spend_wk,spend_pct_gross,wavg_disc_pct,profit_wk,margin_pct,vol_kg_wk,nrw_inr_kg,revenue_delta_pct,units_delta_pct,spend_delta_inr,profit_delta_inr,n_cells_up,n_cells_down,floor_slack_pct,n_feedback_honored,n_glide_bound,failed_groups,whatif_match,elapsed_s,budget_cap_ok
current,—,—,,,449265.2581,38197887.385,36952728.7477,1245158.6373,3.2598,3.2598,7818223.1616,21.1574,60319.597,612.6156,0.0,0.0,0.0,0.0,0,0,,0,0,0,True,0.0,True
revenue_base,revenue,base,0.98,3.0,452606.3468,38534619.0739,37479408.0635,1055211.0104,2.7383,2.7383,8064123.8487,21.5161,60904.6709,615.3782,1.4253,0.7437,-189947.6269,245900.687,1,401,3.4952,0,165,0,True,1118.8,True
revenue_tight,revenue,tight,0.99,2.0,451900.9019,38446881.4028,37327284.8362,1119596.5665,2.9121,2.9121,7985742.39,21.3938,60750.3203,614.4377,1.0136,0.5867,-125562.0707,167519.2283,1,401,2.0339,0,215,0,True,1109.1,True
revenue_loose,revenue,loose,0.96,4.0,453233.1768,38616563.9964,37627221.7624,989342.234,2.562,2.562,8142524.7315,21.64,61050.3844,616.3306,1.8253,0.8832,-255816.4033,324301.5699,1,400,6.068,0,161,0,True,1203.6,True
volume_base,volume,base,0.98,3.0,453074.5986,38600029.2985,37358641.287,1241388.0115,3.216,3.216,7924084.4583,21.2108,61026.3813,612.172,1.0985,0.8479,-3770.6258,105861.2967,28,364,3.1617,0,98,0,True,1429.6,True
nrw_base,nrw,base,0.98,3.0,447673.3433,37993065.438,36995794.9274,997270.5106,2.6249,2.6249,7973159.5362,21.5515,59970.6506,616.8983,0.1165,-0.3543,-247888.1267,154936.3746,198,194,2.1597,0,135,0,True,1156.3,True
share_base,share,base,0.98,3.0,453065.1513,38599671.1389,37358818.8089,1240852.33,3.2147,3.2147,7924508.9056,21.2119,61026.0011,612.1787,1.0989,0.8458,-4306.3073,106285.744,28,363,3.1622,0,97,0,True,1417.7,True
profit_base,profit,base,0.98,3.0,452582.1208,38532438.7285,37479406.4691,1053032.2593,2.7328,2.7328,8065454.9268,21.5197,60899.8257,615.4272,1.4253,0.7383,-192126.378,247231.7651,1,411,3.4952,0,175,0,True,1311.7,True
margin_base,margin,base,0.98,3.0,447155.2186,37928150.4659,36940750.3379,987400.1281,2.6033,2.6033,7964010.3685,21.5589,59849.359,617.2288,-0.0324,-0.4697,-257758.5092,145787.2069,177,206,2.0077,0,132,0,True,1182.0,True
